Season,Event type,Location,Format,Date,Rank
1998-99,Grand Prix,Amsterdam,Limited,15-16 May 1999,5
1999-00,Grand Prix,Cannes,Team Limited,26-27 February 2000,2
2000-01,Grand Prix,Florence,Extended,25-26 November 2000,2
2000-01,Grand Prix,Turin,Team Limited,26-27 May 2001,3
2001-02,Pro Tour,Nice,Extended,2-5 May 2002,2
2001-02,Grand Prix,London,Block Constructed,31 August-1 September 2002,3
2002-03,Pro Tour,Chicago,Rochester Draft,17-19 January 2003,7
2006,Grand Prix,Cardiff,Sealed and Booster Draft,25-26 March 2006,6
2006,Grand Prix,Turin,Sealed and Booster Draft,3-4 June 2006,3
2006,Pro Tour,Kobe,Booster Draft,20-20 October 2006,6
2009,Worlds,Rome,Special,19-22 November 2009,4
2010,Grand Prix,Lyon,Sealed and Booster Draft,8-9 May 2010,4
