Rank,Country,Team,Points
1,Belgium,Gaston Roelants Henri Clerckx Hedwig Leenaert Marcel Vandewattyne Denis Jouret Frans van der Hoeven,110
2,France,Robert Bogey Hamoud Ameur Michel Jazy Salah Beddiaf Noel Tijou Yves Martinage,113
3,England,Roy Fowler Tim Johnston Basil Heatley Tim Briault Eddie Strong Mike Turner,113
4,Tunisia,Mohamed Gammoudi Ali Khamassi Labidi Ayachi Youssef Mastouri Hedi Hamrouni Ammar Khemiri,127
5,Spain,Mariano Haro Francisco Guardia Manuel Alonso Luis García Fernando Aguilar Iluminado Corcuera,128
6,Morocco,Abdeslem Bouchta Bakir Benaissa Rhadi Ben Abdesselam Lahcen Ben Allal Mohamed Ben Mohamed Hammadi Ben Mohamed,173
7,Ireland,Pat Killeen Tom O'Riordan Sean O'Sullivan Derek Graham Mick Neville Jim Hogan,210
8,Scotland,Andy Brown Alastair Wood John Linaker Tom Cochrane Callum Laing Robert McKay,266
9,Portugal,Manuel Marques Maximiano Pinheiro Hélio Duarte Armando Aldegalega Joaquim Ferreira Manuel de Sousa,384
10,Wales,Bob Roath Brian Jeffs Hedydd Davies Ken Flowers Roy Profitt Norman Horrell,417
11,Switzerland,Alfons Sidler Yves Jeannotat Karl Schaller Edgar Friedli Arthur Hess Fritz Holzer,432
