Medal,Name,Sport,Event
Gold,Alireza Samimi Taha Mortazavi Vahid Shafiei Mohammad Keshavarz Meisam Khayyam Alireza Vafaei Ali Asghar Hassanzadeh Ghodrat Bahadori Hossein Tayyebi Mohammad Taheri Ali Kiaei Sepehr Mohammadi Farhad Tavakkoli Mehdi Javid,Futsal,Men
Gold,Elias Aliakbari,Kurash,Men 's 73 kg
Gold,Vahid Shahbazi,Muay Thai,Men 's 63.5 kg
Silver,Amir Sarkhosh,Cue sports,Men 's six-red snooker singles
Silver,Farzaneh Tavassoli Paria Norouzi Nasimeh Gholami Fereshteh Karimi Soheila Molmoli Sepideh Zarinrad Leila Eghbali Niloufar Ardalan Fahimeh Zareei Fatemeh Etedadi Nastaran Moghimi Arezoo Sadaghianizadeh Naghmeh Moradi Behnaz Khayyat,Futsal,Women
Silver,Kianoush Naderian Meraj Sheikh Abolfazl Maghsoudloo Esmaeil Maghsoudloo Fazel Atrachali Navid Nazari Farhad Rahimi,Indoor kabaddi,Men
Silver,Samira Shaabani Salimeh Abdollahbakhsh Marzieh Eshghi Farideh Zarifdoust Sedigheh Jafari Sahar Ilat Hengameh Bourghani,Indoor kabaddi,Women
Silver,Somayyeh Heidari,Kurash,Women 's 57 kg
Silver,Masoud Minaei,Muay Thai,Men 's 67 kg
Bronze,Saeid Khosravinejad,Kurash,Men 's +90 kg
Bronze,Issa Alamdar,Muay Thai,Men 's 71 kg
