Name,Age,From,Place of residence,Place finished
Yosuzi Sylvester,21,Venezuela,"Los Angeles , California",16th
Erika Macke,21,United States,"Las Vegas , Nevada",15th ( Withdrew )
Erica Milde,23,United States,"Chicago , Illinois",14th
Valerie Roy,27,United States,"New York , New York",13th
Emarie Wiltz,29,United States,"New York , New York",12th
Fatma Dabo,25,Gambia,"Los Angeles , California",11th
Vanessa Fitzgerald,20,United States,"New York , New York",10th
Tara Egan,21,United States,"Chicago , Illinois",9th
Ebony Jointer,19,United States,"Hacienda Heights , California",8th
Celine Chua,28,Singapore,"New York , New York",7th
Kojii Helnwein,25,Ireland,"Los Angeles , California",6th
Katie Sticksel,22,United States,"Los Angeles , California",5th
Matar Cohen,24,Israel,"New York , New York",4th
Lisa Blades,24,United States,"Los Angeles , California",3rd
Tanisha Harper,28,United States,"Los Angeles , California",Runner-up
Kalyn Hemphill,19,United States,"New York , New York",Winner
