Princess,Series title,Notes
Princess Aouda,Around the World in 80 Days,1989 NBC miniseries based on Jules Verne 's novel of the same name . Portrayed by Julia Nickson
Liuying,Ashes of Love,The Demon Princess . Portrayed by Chen Yuqi
Suihe,Ashes of Love,The Princess of the Bird Tribe and the Peacock immortal . Portrayed by Wang Yifei
Miranda,BBC Television Shakespeare,Portrayed by Pippa Guard in the episode The Tempest
"Princess Susannah , Duchess of Beaumont",Black Mirror,"In the 2011 episode The National Anthem , Princess Susannah is kidnapped by artist Carlton Bloom , who forces Prime Minister Michael Callow to engage in sexual intercourse with a pig as a condition for her safe return . Portrayed by Lydia Wilson"
Princess Multiwa / Archerina,Chōriki Sentai Ohranger / Power Rangers Zeo,Voiced by Miho Yamada in Chōriki Sentai Ohranger and Melora Harte in Power Rangers Zeo
Princess Irulan,Dune,"Eldest daughter of the 81st Padishah Emperor Shaddam IV and Anirul . Elder sister of Chalice , Wensicia , Josifa , and Rugi . Portrayed by Julie Cox"
Princess Wensicia,Dune,"Third daughter of the 81st Padishah Emperor Shaddam IV and Anirul . Sister of Irulan , Chalice , Josifa , and Rugi . Portrayed by Susan Sarandon"
Alexandra Alex Wilson,The Elephant Princess,Princess of Manjipoor . Portrayed by Emily Robins
Princess Indie,Eureeka 's Castle,Princess of Eureeka 's Castle . Performed by Eleanor Martin
Princess Isabella,Galavant,Princess Isabella Maria Lucia Elizabetta of Valencia . Portrayed by Karen David
Myrcella Baratheon,Game of Thrones,"Princess of House Baratheon of King 's Landing . Legal daughter of King Robert Baratheon , biological daughter of Cersei and Jaime Lannister . Sister of Kings Joffrey and Tommen . Betrothed to Prince Trystane of Dorne . Portrayed in Seasons 1 and 2 by Aimee Richardson , and in Seasons 5 and 6 by Neil Tiger Free"
Shireen Baratheon,Game of Thrones,"Daughter of Stannis Baratheon , disputed King of Westeros , and his wife , Selyse Florent . Portrayed by Kerry Ingram"
Elia Martell,Game of Thrones,Sister of Prince Doran Martell of Dorne and Prince Oberyn . Mentioned only
Daenerys Targaryen,Game of Thrones,"Daughter of Aerys II Targaryen and Rhaella ; younger sister of Rhaegar and Viserys Targaryen . Wife of Khal Drogo , and mother of their stillborn son , Rhaego . Known as the Mother of Dragons and Khaleesi of the Great Grass Sea . Portrayed by Emilia Clarke"
Rhaenys Targaryen,Game of Thrones,Daughter of Rhaegar Targaryen and Elia Martell . Niece of Daenerys Targaryen . Mentioned only
Alexis Davis,General Hospital,"Daughter of Greco-Russian prince Mikkos Cassadine and his mistress , Swedish opera singer Kristin Bergman . Portrayed by Nancy Lee Grahn , briefly by Susan Diol , and by Kristen Erickson as a teenager"
Prince Igam,Hikari Sentai Maskman,"Prince ( Princess ) Igam , Princess Ial . Major villain revealed to be a woman . Portrayed by Mina Asami"
Princess SummerFallWinterSpring,Howdy Doody,"She was portrayed by actress Judy Tyler , but also portrayed by a marionette"
Lan Shang,Ice Fantasy,The mermaid princess of the Mermaid Tribe . Portrayed by Madina Memet
