No,Name,Net worth ( USD ),Age,Nationality,Source ( s ) of wealth
1,Jeff Bezos,$ 112 billion,54,United States,Amazon
2,Bill Gates,$ 90 billion,62,United States,Microsoft
3,Warren Buffett,$ 84 billion,87,United States,Berkshire Hathaway
4,Bernard Arnault,$ 72 billion,69,France,LVMH
5,Mark Zuckerberg,$ 71 billion,33,United States,Facebook
6,Amancio Ortega,$ 70 billion,81,Spain,"Inditex , Zara"
7,Carlos Slim,$ 67.1 billion,78,Mexico,"América Móvil , Grupo Carso"
8,Charles Koch,$ 60 billion,82,United States,Koch Industries
8,David Koch,$ 60 billion,77,United States,Koch Industries
10,Larry Ellison,$ 58.5 billion,73,United States,Oracle Corporation
