Pos,No,Driver,Constructor,Lap,Gap
1,6,Juan Pablo Montoya,Williams - BMW,1:13.114,-
2,1,Michael Schumacher,Ferrari,1:13.241,+0.127
3,5,Ralf Schumacher,Williams - BMW,1:13.328,+0.214
4,3,David Coulthard,McLaren - Mercedes,1:13.565,+0.451
5,4,Kimi Räikkönen,McLaren - Mercedes,1:13.595,+0.481
6,14,Jarno Trulli,Renault,1:13.611,+0.497
7,15,Jenson Button,Renault,1:13.665,+0.551
8,2,Rubens Barrichello,Ferrari,1:13.935,+0.821
9,7,Nick Heidfeld,Sauber - Petronas,1:14.233,+1.119
10,24,Mika Salo,Toyota,1:14.443,+1.329
11,17,Pedro de la Rosa,Jaguar - Cosworth,1:14.464,+1.350
12,8,Felipe Massa,Sauber - Petronas,1:14.533,+1.419
13,16,Eddie Irvine,Jaguar - Cosworth,1:14.537,+1.423
14,9,Giancarlo Fisichella,Jordan - Honda,1:14.748,+1.634
15,11,Jacques Villeneuve,BAR - Honda,1:14.760,+1.646
16,25,Allan McNish,Toyota,1:14.990,+1.876
17,12,Olivier Panis,BAR - Honda,1:14.996,+1.882
18,20,Heinz-Harald Frentzen,Arrows - Cosworth,1:15.112,+1.998
19,10,Takuma Sato,Jordan - Honda,1:15.296,+2.182
20,23,Mark Webber,Minardi - Asiatech,1:15.340,+2.226
