#,Artist,Artist 's nationality,Title
1,No Angels,Germany,Daylight in Your Eyes
2,Enya,Ireland,Only Time
3,Kylie Minogue,Australia,Ca n't Get You Out of My Head
4,Crazy Town,United States,Butterfly
5,Atomic Kitten,United Kingdom,Whole Again
6,Shaggy,Jamaica,Angel
7,Safri Duo,Denmark,Played-A-Live ( The Bongo Song )
8,Outkast,United States,Ms. Jackson
9,Uncle Kracker,United States,Follow Me
10,Gorillaz,United Kingdom,Clint Eastwood
11,Eminem featuring Dido,United States United Kingdom,Stan
12,Alicia Keys,United States,Fallin '
13,Bro'Sis,Germany,I Believe
14,Dante Thomas featuring Pras,United States,Miss California
15,"Christina Aguilera , Lil ' Kim , Mýa , Pink & Missy Elliott",United States,Lady Marmalade
16,Wheatus,United States,Teenage Dirtbag
17,Sarah Connor,Germany,From Sarah with Love
18,Shaggy,Jamaica,It Was n't Me
19,Gigi D'Agostino,Italy,La Passion
20,Sylver,Belgium,Turn The Tide
