Round,Pick,Player,Drafted to,Recruited from,League
1,1,Tom Boyd,Greater Western Sydney,Eastern Ranges,TAC Cup
1,2,Josh Kelly,Greater Western Sydney,Sandringham Dragons,TAC Cup
1,3,Jack Billings,St Kilda,Oakleigh Chargers,TAC Cup
1,4,Marcus Bontempelli,Western Bulldogs,Northern Knights,TAC Cup
1,5,Kade Kolodjashnij,Gold Coast,Launceston,TSL
1,6,Matthew Scharenberg,Collingwood,Glenelg,SANFL
1,7,James Aish,Brisbane Lions,Norwood,SANFL
1,8,Luke McDonald,North Melbourne,Werribee,VFL
1,9,Christian Salem,Melbourne,Sandringham Dragons,TAC Cup
1,10,Nathan Freeman,Collingwood,Sandringham Dragons,TAC Cup
1,11,Dom Sheed,West Coast,Subiaco,WAFL
1,12,Ben Lennon,Richmond,Northern Knights,TAC Cup
1,13,Patrick Cripps,Carlton,East Fremantle,WAFL
1,14,Cam McCarthy,Greater Western Sydney,South Fremantle,WAFL
1,15,Zak Jones,Sydney,Dandenong Stingrays,TAC Cup
1,16,Darcy Lang,Geelong,Geelong Falcons,TAC Cup
1,17,Michael Apeness,Fremantle,Eastern Ranges,TAC Cup
1,18,Luke Dunstan,St Kilda,Woodville-West Torrens,SANFL
1,19,Blake Acres,St Kilda,West Perth,WAFL
1,20,Jack Leslie,Gold Coast,Gippsland Power,TAC Cup
