No,Abbreviated Name,Town or Settlement,Official Club and Team Name
1,Kiffen,Helsinki,Kronohagens Idrottsförening
2,FC Lahti Akatemia,Lahti,FC Kuusysi
3,FC Legirus Inter,Vantaa,FC Legirus Inter
4,JäPS,Järvenpää,Järvenpään Palloseura
5,Klubi 04,Helsinki,Klubi 04
6,KTP,Kotka,Kotkan Työväen Palloilijat
7,Kultsu FC,Lappeenranta,Kultsu FC
8,MiPK,Mikkeli,Mikkelin Pallo-Kissat
9,MP,Mikkeli,Mikkelin Palloilijat
10,PEPO,Lappeenranta,PEPO Lappeenranta
11,PKKU,"Järvenpää , Kerava and Tuusula",Pallokerho Keski-Uusimaa
12,Sudet,Kouvola,Sudet
