Frequency,Call sign,Branding,Format,Owner
AM 590,CJCL,Sportsnet 590 The Fan,sports,Rogers Media
AM 640,CFMJ,Global News Radio 640 Toronto,talk,Corus Entertainment
AM 680,CFTR,680 News,news,Rogers Media
AM 740,CFZM,Zoomer Radio,pop standards,ZoomerMedia
AM 860,CJBC,Ici Radio-Canada Première,public news / talk,CBC
AM 960,CKNT,960 CKNT,talk,
AM 1010,CFRB,Newstalk 1010,news / talk,Bell Media
AM 1050,CHUM,TSN Radio 1050,sports radio,Bell Media
AM 1280,CJRU,CJRU.ca,campus/community,Ryerson University
AM 1430,CHKT,Fairchild Radio,multilingual,Fairchild Radio
AM 1540,CHIN,CHIN Radio,multilingual,CHIN Radio/TV International
AM 1610,CHHA,Voces Latinas,Spanish community station,San Lorenzo Latin American Community Centre
AM 1690,CHTO,,multilingual,Canadian Hellenic Toronto Radio
