Title,Director,Cast,Genre
45 Days Lover,Chow Jan Wing,,Romance
Angels Model,Leung Hoi Kit,,
The Assailant,Tony Leung,,
An Autumn Diary,Lam Kin Lung,,
Beauty and the Breast,Raymond Yip,"Francis Ng , Michelle Reis , Daniel Wu , Halina Tam",Comedy
Big Boss Untouchable,Kant Leung,,
Black Mask 2 : City Of Masks,Tsui Hark,,
"Book and Sword , Gratitude and Revenge",Li Guo Li,,TV series
Chinese Odyssey 2002,Jeffrey Lau,"Tony Leung Chiu-Wai , Faye Wong , Zhao Wei",Comedy
"Devil Face , Angel Heart",Billy Chung,"Daniel Wu , Stephen Fung , Gigi Lai , Sam Lee , Lam Suet , Kelly Lin",Thriller
The Era of Vampires,Wellson Chin,"Danny Chan Kwok Kwan , Michael Chow , Ken Chang , Lam Suet , Anya , Yu Rongguang , Lee Lik-Chi , Chen Kuan Tai",
The Eye,Oxide Pang,"Lee Sin-je , Lawrence Chou , Candy Lo , Pierre Png , Edmund Chen , Wilson Yip",Horror
Fat Choi Spirit,"Johnnie To , Wai Ka-Fai","Andy Lau , Gigi Leung",Comedy
Hero,Zhang Yimou,"Jet Li , Tony Leung Chiu-Wai , Maggie Cheung , Chen Daoming , Zhang Ziyi , Donnie Yen",Action / Martial arts / Drama / History
Infernal Affairs,"Andrew Lau , Alan Mak","Andy Lau , Tony Leung Chiu-Wai , Anthony Wong , Eric Tsang",Crime
Inner Senses,Law Chi-Leung,"Leslie Cheung , Karena Lam",Horror
My Left Eye Sees Ghosts,"Johnnie To , Wai Ka-Fai","Sammi Cheng , Lau Ching Wan , Cherrie Ying",
So Close,Corey Yuen,"Shu Qi , Zhao Wei , Karen Mok",Action
Troublesome Night 13,Chan Yiu-Ming,"Law Lan , Ken Wong , Anita Chan , Ronnie Cheung , Tong Ka-Fai , Crystal Cheung , Yu Ka-Ho","Horror , romance , comedy"
