Round,Pick #,Overall,Name,Position,College
1,6,6,Carl Eller,Defensive end,Minnesota
2,5,19,Hal Bedsole,Tight end,USC
3,6,34,George Rose,Cornerback,Auburn
4,11,53,Tom Keating,Defensive tackle,Michigan
5,6,62,John Kirby,Linebacker,Nebraska
6,5,75,Bob Lacey,End,North Carolina
7,6,90,Wes Bryant,Tackle,Arkansas
8,5,103,Bill McWatters,Fullback,North Texas State
9,6,118,Darrell Lester,Running back,McNeese State
11,6,146,H.O . Estes,Guard,East Central ( OK )
12,5,159,Sandy Sands,End,Texas
13,6,174,Russ Vollmer,Running back,Memphis State
14,5,187,Tom Michel,Running back,East Carolina
15,6,202,Monte Kiffin,Tackle,Nebraska
16,5,215,Carlton Oats,Defensive end,Florida A & M
17,6,230,Jerry McClurg,End,Colorado
18,5,243,Carl Robinson,Tackle,Prairie View A & M
19,6,258,Dick Schott,End,Louisville
20,5,271,Milt Sunde,Guard,Minnesota
