Church,Dates,"City , State"
Asbury Methodist Episcopal Church,built NRHP-listed,"Allen , Maryland"
Mt . Moriah African Methodist Episcopal Church,built NRHP-listed,"Annapolis , Maryland"
Dorguth Memorial United Methodist Church,built NRHP-listed,"Baltimore , Maryland"
Grace-Hampden Methodist Episcopal Church,built NRHP-listed,"Baltimore , Maryland"
Madison Avenue Methodist Episcopal Church,built NRHP-listed,"Baltimore , Maryland"
Mount Vernon Place United Methodist Church and Asbury House,built NRHP-listed,"Baltimore , Maryland"
Orchard Street United Methodist Church,built NRHP-listed,"Baltimore , Maryland"
Sharp Street Memorial United Methodist Church and Community House,built NRHP-listed,"Baltimore , Maryland"
Rock Creek Methodist Episcopal Church,built NRHP-listed,"Chance , Maryland"
Mt . Tabor Methodist Episcopal Church,1893 built 2001 NRHP-listed,"Crownsville , Maryland"
African Methodist Episcopal Church,1892 built 1979 NRHP-listed,"Cumberland , Maryland"
St. John 's Methodist Episcopal Church and Joshua Thomas Chapel,built NRHP-listed,"Deal Island , Maryland"
Wesley Chapel Methodist Episcopal Church,built NRHP-listed,"Eldersburg , Maryland"
St. Peter 's Methodist Episcopal Church,built NRHP-listed,"Hopewell , Maryland"
Ridgley Methodist Episcopal Church,built NRHP-listed,"Landover , Maryland"
Quindocqua United Methodist Church,built NRHP-listed,"Marion , Maryland"
Bethlehem Methodist Episcopal Church,built NRHP-listed,"Taylor 's Island , Maryland"
Old Friendship United Methodist Church,built NRHP-listed,"West Post Office , Maryland"
St. Paul 's Methodist Episcopal Church,built NRHP-listed,"Westover , Maryland"
