Medal,Name,Sport,Event
Gold,Charlotte Kalla,Cross-country skiing,Women 's 10 km freestyle
Gold,Björn Ferry,Biathlon,Men 's pursuit
Gold,Marcus Hellner,Cross-country skiing,Men 's 30 km pursuit
Gold,Marcus Hellner Johan Olsson Daniel Rickardsson Anders Södergren,Cross-country skiing,Men 's 4 x 10 km relay
Gold,Kajsa Bergström Anna Le Moine Cathrine Lindahl Eva Lund Anette Norberg,Curling,Women 's
Silver,Anna Haag,Cross-country skiing,Women 's 15 km pursuit
Silver,Anna Haag Charlotte Kalla,Cross-country skiing,Women 's team sprint
Bronze,Anja Pärson,Alpine skiing,Women 's combined
Bronze,Johan Olsson,Cross-country skiing,Men 's 30 km pursuit
Bronze,André Myhrer,Alpine skiing,Men 's slalom
Bronze,Johan Olsson,Cross-country skiing,Men 's 50 km classical
