Date,Game,Notes
1989,Joan of Arc - Siege and the Sword / Jeanne d'Arc,"Historically based war strategy and action game by Brøderbund for Amiga , ST and PC"
1992,World Heroes series,"NeoGeo fighting game . The character Janne D'Arc , a beautiful French swordswoman with pyrokinetic powers , is very much inspired by Joan of Arc"
1995,Soul Edge,Fighting game released by Namco about a sword full of evil spirits . The character Sophitia Alexandra shares a similar story to Joan of Arc . Although they both eventually meet and bond with each other in Warriors Orochi 3 Ultimate
1999,Age of Empires II : The Age of Kings,The central character in one of the major campaigns in which she is depicted as a peasant at first but follows a historically driven plot leading to her capture and death
2000,Perfect Dark,"Nintendo 64 game . Whilst in no way is the game about Joan , the central character Joanna Dark 's name is a play on Jeanne d'Arc"
2001,Civilization III,The Leader of France 's civilization is Joan of Arc
2002,La Pucelle : Tactics,"PlayStation game . The title is an allusion to Joan of Arc . Most of the character and place names within the game are French , but the game scenario is unrelated fantasy"
2004,Wars and Warriors : Joan of Arc,"PC game , title character"
2006,Age of Empires : The Age of Kings,Nintendo DS game major playable character
2006,Jeanne d'Arc,"PSP game , title character in a fantasy universe loosely based on the historical story"
"2006 , 2008",Yggdra Union,"Game Boy Advance/PSP game . Minor character Monica , a peasant girl who receives divine inspiration and rises up to defend her country from invasion , is based on Joan of Arc"
2007,Bladestorm : The Hundred Years ' War,"PS3 game , Xbox 360 game , major character and leader of the French troops"
2008,Atlantica Online,"PC MMORPG , Hero Mercenary , evolved form of Lady Knight Mercenary"
2009,Assassin 's Creed II,"PS3 / Xbox 360 /PC action game . It is claimed that she had the 25th Piece of Eden , the Sword , and the Templars burned her alive to gain possession of it"
2009,Dragon Age,"Andraste , a messianic figure in the game world who is both a religious and military leader , is partially based upon Joan of Arc"
2010,Bayonetta,"PS3/Xbox 360/PC game contains a character named Jeanne who acts as Bayonetta 's rival . She also possesses some references to the real life Joan of Arc , with her trademark red outfit being the product of the fictional Italian fashion brand D'arc"
2011,Deadliest Warrior : Legends,PS3/Xbox 360 game . Historical warriors engage in one-on-one fighting ; Joan of Arc is playable through downloadable content
2012,Warriors Orochi 3,"PS3/Xbox 360 hack and slash game , Joan 's Bladestorm : The Hundred Years ' War incarnation appears as a special guest character and is involved in the plot to save the world from destruction . In Ultimate update game , this is where Joan and Sophitia met and shares their bonds each other"
2013,"Angel Master ( エンジェルマスター , Enjeru Masutā )","This iOS and Android card action game contains a character named Jeanne d'Arc ( ジャンヌ・ダルク , Jan'nu Daruku ) , who is one of the game 's three main characters"
2015,Fate/Grand Order,"Appears as a summonable servant in the Ruler , Avenger , Lancer , Archer , and Berseker classes . Also appears in the First Singularity : Hundred Years ' War of the First Dragons : Orleans as the main ally ( In ruler class ) of the player and the antagonist of the singularity , The Dragon Witch ( Avenger ) , who was summoned by Caster ( Gilles de Rais ) using the Holy Grail"
