Year,Title,Role
2009,Star Trek,Spock
2011,Margin Call,Peter Sullivan
2011,Girl Walks into a Bar,Nicolas Nick
2011,What 's Your Number ?,Rick
2013,Star Trek Into Darkness,Spock
2014,We 'll Never Have Paris,Jameson
2015,I Am Michael,Bennett
2015,Hitman : Agent 47,John Smith
2016,Tallulah,Andreas
2016,Star Trek Beyond,Spock
2016,Snowden,Glenn Greenwald
2016,Passage to Mars,Pascal Lee
2017,Aardvark,Josh Norman
2017,Who We Are Now,Peter
2018,Hotel Artemis,Crosby
2019,High Flying Bird,David Starr
2020,The Boys in the Band,Harold
