Name,Chartered,Institution,Location
Xi Alpha,"March 4 , 1978",Georgia Institute of Technology,"Atlanta , Georgia"
Xi Beta,"April 15 , 1978",Winthrop University,"Rock Hill , South Carolina"
Xi Gamma,"May 20 , 1978","Long Island , NY City-Wide 1978-1987 , Hofstra University 1988-present","Hempstead , New York"
Xi Delta,,University of West Alabama,"Livingston , Alabama"
Xi Epsilon,"July 1 , 1978",Florida Atlantic University,"Boca Raton , Florida"
Xi Zeta,,Southeastern University,"Washington , District of Columbia"
Xi Eta,"January 6 , 1979",Georgia Southern University,"Statesboro , Georgia"
Xi Theta,"February 9 , 1979",Nicholls State University,"Thibodaux , Louisiana"
Xi Iota,"February 10 , 1979 Chapter no longer City-Wide as of 2011",University of South Carolina Upstate,"Spartanburg , South Carolina"
Xi Kappa,,California Polytechnic State University,"San Luis Obispo , California"
Xi Lambda,,"California State University , Fullerton","Fullerton , California"
Xi Nu,"May 19 , 1979",Rutgers University,"New Brunswick , New Jersey"
Xi Xi,,Cal Poly Pomona,"Pomona , California"
Xi Omicron,,Francis Marion University,"Florence , South Carolina"
Xi Pi,,"Albany , New York City-Wide","Albany , New York"
Xi Rho,"September 28 , 1979",Morris College,"Sumter , South Carolina"
Xi Tau,1980,Cambridge City-Wide,"Cambridge , Massachusetts"
Xi Upsilon,,Birmingham-Southern College,"Birmingham , Alabama"
Xi Phi,,University of North Alabama,"Florence , Alabama"
Xi Chi,,California State University Fresno,"Fresno , California"
