Athlete,Country,Wins,Years
Antonio Ambu,Italy,7,"1961 , 1964-1969"
Edwin Soi,Kenya,5,2009-2013
Giovanni Nocco,Italy,3,"1946 , 1947 , 1950"
Franjo Mihalić,Yugoslavia,3,"1957 , 1959 , 1960"
Gianni Demadonna,Italy,3,"1980 , 1983 , 1985"
Stefano Baldini,Italy,3,"2002 , 2004 , 2006"
Moses Mosop,Kenya,2,"2007 , 2008"
Andrew Masai,Kenya,2,"1986 , 1995"
Francesco Panetta,Italy,2,"1987 , 1988"
Luigi Zarcone,Italy,2,"1977 , 1979"
Primo Gretter,Italy,2,"1975 , 1976"
Werner Dössegger,Switzerland,2,"1972 , 1973"
Walter Konrad,Germany,2,"1953 , 1955"
