Rank,Athlete,Nationality,Time
1,Tegla Loroupe,Kenya,1:08:48
2,Mizuki Noguchi,Japan,1:09:12
3,Catherine Ndereba,Kenya,1:09:23
4,Joyce Chepchumba,Kenya,1:09:29
5,Reiko Tosa,Japan,1:09:36
6,Valentina Yegorova,Russia,1:09:59
7,Elana Meyer,South Africa,1:10:20
8,Luminița Talpoș,Romania,1:10:33
9,Lyudmila Biktasheva,Russia,1:10:35
10,Alina Ivanova,Russia,1:11:15
11,Hiromi Katayama,Japan,1:11:18
12,Constantina Diţă,Romania,1:11:22
13,Margaret Okayo,Kenya,1:11:29
14,Derartu Tulu,Ethiopia,1:11:33
15,Ana Isabel Alonso,Spain,1:11:38
16,Cristina Pomacu,Romania,1:11:45
17,Satomi Matsuo,Japan,1:11:48
18,Lyudmila Petrova,Russia,1:11:53
19,Agata Balsamo,Italy,1:11:58
20,Jane Omoro,Kenya,1:12:10
