Region,Rnd,Host,Venue,City,State
East,1,Western Kentucky University,E.A . Diddle Arena,Bowling Green,Kentucky
East,1,James Madison University,James Madison University Convocation Center,Harrisonburg,Virginia
East,1,University of Connecticut,Hugh S. Greer Field House,Storrs,Connecticut
East,1,Vanderbilt University,Memorial Gymnasium ( Vanderbilt University ),Nashville,Tennessee
East,1,University of Tennessee,Thompson-Boling Arena,Knoxville,Tennessee
East,2,Ohio State University,St. John Arena,Columbus,Ohio
East,2,Long Beach State,University Gym ( Gold Mine ),Long Beach,California
East,2,University of Virginia,University Hall ( University of Virginia ),Charlottesville,Virginia
Mideast,1,University of Georgia,Georgia Coliseum ( Stegeman Coliseum ),Athens,Georgia
Mideast,1,Rutgers University,Louis Brown Athletic Center,Piscataway,New Jersey
Mideast,1,Old Dominion University,Old Dominion University Fieldhouse,Norfolk,Virginia
Mideast,1,Temple University,McGonigle Hall,Philadelphia,Pennsylvania
Mideast,2,North Carolina State University,Reynolds Coliseum,Raleigh,North Carolina
Mideast,2,University of Mississippi,Tad Smith Coliseum,Oxford,Mississippi
Mideast,2,Auburn University,Memorial Coliseum ( Beard-Eaves-Memorial Coliseum ),Auburn,Alabama
Mideast,2,Clemson University,Littlejohn Coliseum,Clemson,South Carolina
Midwest,1,University of South Carolina,Carolina Coliseum,Columbia,South Carolina
Midwest,1,Oklahoma State University,Gallagher-Iba Arena,Stillwater,Oklahoma
Midwest,1,Illinois State University,Redbird Arena,Normal,Illinois
Midwest,1 & 2,Purdue University,Mackey Arena,West Lafayette,Indiana
