Licence plate letter,Region name in English,Region name in Czech,Administrative seat,Population ( 2004 estimate ),Population ( 2011 estimate )
A,Prague,Hlavní město Praha,n/a,"1,170,571","1,268,796"
S,Central Bohemian Region,Středočeský kraj,Prague,"1,144,071","1,289,211"
C,South Bohemian Region,Jihočeský kraj,České Budějovice,"625,712","628,336"
P,Plzeň Region,Plzeňský kraj,Plzeň,"549,618","570,401"
K,Karlovy Vary Region,Karlovarský kraj,Karlovy Vary,"304,588","295,595"
U,Ústí nad Labem Region,Ústecký kraj,Ústí nad Labem,"822,133","835,814"
L,Liberec Region,Liberecký kraj,Liberec,"427,563","432,439"
H,Hradec Králové Region,Královéhradecký kraj,Hradec Králové,"547,296","547,916"
E,Pardubice Region,Pardubický kraj,Pardubice,"505,285","511,627"
M,Olomouc Region,Olomoucký kraj,Olomouc,"635,126","628,427"
T,Moravian-Silesian Region,Moravskoslezský kraj,Ostrava,"1,257,554","1,205,834"
B,South Moravian Region,Jihomoravský kraj,Brno,"1,123,201","1,163,508"
Z,Zlín Region,Zlínský kraj,Zlín,"590,706","579,944"
J,Vysočina Region,Kraj Vysočina,Jihlava,"517,153","505,565"
