Name,Suburb,LGA,Established
Alinjarra Primary School,Alexander Heights,Wanneroo,1987
Alkimos Primary School,Alkimos,Wanneroo,2016
Alkimos Beach Primary School,Alkimos,Wanneroo,2017
Anne Hamersley Primary School,Ellenbrook,Swan,2018
Anzac Terrace Primary School,Bassendean,Bassendean,1969
Applecross Primary School,Applecross,Melville,1905
Arbor Grove Primary School,Ellenbrook,Swan,2004
Ardross Primary School,Ardross,Melville,1961
Armadale Primary School,Armadale,Armadale,1899
Ashburton Drive Primary School,Gosnells,Gosnells,1986
Ashdale Primary School,Darch,Wanneroo,2005
Ashfield Primary School,Ashfield,Bassendean,1955
Aspiri Primary School,Piara Waters,Armadale,2018
Attadale Primary School,Attadale,Melville,1953
Atwell Primary School,Atwell,Cockburn,1998
Aubin Grove Primary School,Aubin Grove,Cockburn,2011
Aveley North Primary School,Aveley,Swan,2018
Aveley Primary School,Aveley,Swan,2012
Balcatta Primary School,Balcatta,Stirling,1964
Baldivis Primary School,Baldivis,Rockingham,1924
