Year,Title,Role
2009,I Love Betty La Fea,Herself / Ecomodel
2009,Precious Hearts Romances Presents : Bud Brothers Series,Jennifer
2009,Dahil May Isang Ikaw,Jannelle Paez
2009,Precious Hearts Romances Presents : Somewhere In My Heart,Amy
2010,Habang May Buhay,Michiko
2010,Kung Tayo ' y Magkakalayo,Diane
2010,Magkano Ang Iyong Dangal ?,Jenny
2010,Maalaala Mo Kaya,Rosa
2010-11,Imortal,Miriam Villamor
2011,Iskul Bukol,Joseph Dizon
2011,Reputasyon,Precious
2011,Maria La Del Barrio,Liz
2011-12,The Jose and Wally Show Starring Vic Sotto,Erika
2011-2016,PBA on Sports5,Herself
2012,A Beautiful Affair,Dr. Trina Cawagas
2013,Kidlat,Chichi
2013,Maria Mercedes,Lou
2013,Killer Karaoke : Pinoy Naman,Herself - Erika Kalurka
2014,Kambal Sirena,Gigi
2014,Eat Bulaga Lenten Special : Pangalawang Bukas,Wife of Jose Manalo
