AOC,NAF,MAJCOM,UCC,Role,Station
601st Air Operations Center,1 AF/AFNORTH,ACC,USNORTHCOM,Regional,"Tyndall AFB , Florida"
603d Air Operations Center,3 AF/AFEUR,USAFE,USEUCOM / USAFRICOM,Regional,"Ramstein AB , Germany"
607th Air Operations Center ( HTACC / KAOC ),7 AF/AFKOR,PACAF,USPACOM,Regional,"Osan AB , South Korea"
608th Air Operations Center,8 AF/AFSTRAT-GS,AFGSC,USSTRATCOM,Functional,"Barksdale AFB , Louisiana"
609th Air Operations Center ( CAOC ),USAFCENT,ACC,USCENTCOM,Regional,"Al Udeid Air Base , Qatar ; 609 AOC Det 1 , Shaw AFB , South Carolina"
611th Air Operations Center,11 AF,PACAF,USPACOM / USNORTHCOM,Regional,"Joint Base Elmendorf-Richardson , Alaska"
612th Air Operations Center,12 AF/AFSOUTH,ACC,USSOUTHCOM,Regional,"Davis-Monthan AFB , Arizona"
613th Air Operations Center,13 AF/AFPAC,PACAF,USPACOM,Regional,"Joint Base Pearl Harbor-Hickam , Hawaii"
618th Air Operations Center,18 AF/AFTRANS,AMC,USTRANSCOM,Functional,"Scott AFB , Illinois"
623d Air Operations Center,23 AF/AFSOF,AFSOC,USSOCOM,Functional,"Hurlburt Field , Florida"
624th Operations Center,24 AF/AFCYBER,AFSPC,USCYBERCOM,Functional,"Lackland AFB , Texas"
625th Operations Center,25 AF,ACC,USCYBERCOM ( NSA ),Functional,"Lackland AFB , Texas"
