Pos,No,Driver,Constructor,Lap,Gap
1,2,Rubens Barrichello,Ferrari,1:20.089,-
2,3,Juan Pablo Montoya,Williams - BMW,1:20.620,+0.531
3,1,Michael Schumacher,Ferrari,1:20.637,+0.548
4,8,Fernando Alonso,Renault,1:20.645,+0.556
5,10,Takuma Sato,BAR - Honda,1:20.715,+0.626
6,9,Jenson Button,BAR - Honda,1:20.786,+0.697
7,6,Kimi Räikkönen,McLaren - Mercedes,1:20.877,+0.788
8,4,Antônio Pizzonia,Williams - BMW,1:20.888,+0.799
9,7,Jarno Trulli,Renault,1:21.027,+0.938
10,5,David Coulthard,McLaren - Mercedes,1:21.049,+0.960
11,16,Ricardo Zonta,Toyota,1:21.520,+1.431
12,14,Mark Webber,Jaguar - Cosworth,1:21.602,+1.513
13,17,Olivier Panis,Toyota,1:21.841,+1.752
14,15,Christian Klien,Jaguar - Cosworth,1:21.989,+1.900
15,11,Giancarlo Fisichella,Sauber - Petronas,1:22.239,+2.150
16,12,Felipe Massa,Sauber - Petronas,1:22.287,+2.198
17,18,Nick Heidfeld *,Jordan - Ford,1:22.301,+2.212
18,19,Giorgio Pantano,Jordan - Ford,1:23.239,+3.150
19,21,Zsolt Baumgartner,Minardi - Cosworth,1:24.808,+4.719
20,20,Gianmaria Bruni,Minardi - Cosworth,1:24.910,+4.821
