Rank,Athlete,Nationality,Time
1,Lornah Kiplagat,Netherlands,1:03:21
2,Constantina Diţă-Tomescu,Romania,1:03:23
3,Rita Sitienei Jeptoo,Kenya,1:03:47
4,Dire Tune,Ethiopia,1:05:16
5,Edith Masai,Kenya,1:05:21
6,Kayoko Fukushi,Japan,1:05:32
7,Yurika Nakamura,Japan,1:05:36
8,Natalya Berkut,Ukraine,1:05:42
9,Souad Aït Salem,Algeria,1:06:11
10,Teyba Erkesso,Ethiopia,1:06:15
11,Anikó Kálovics,Hungary,1:06:20
12,Gulnara Vygovskaya,Russia,1:06:30
13,Natalya Kurbatova,Russia,1:06:33
14,Eunice Jepkorir,Kenya,1:06:47
15,Irina Timofeyeva,Russia,1:07:10
16,Luminița Talpoș,Romania,1:07:11
17,Ashu Kasim,Ethiopia,1:07:19
18,Anna Thompson,Australia,1:07:23
19,Ryoko Kizaki,Japan,1:07:52
20,Masami Sakata,Japan,1:08:13
