Year,Film,Director,Cast,Business
1961,Insaan badalta hai,Munawwar Rasheed,"Darpan , Shamim Ara , Lehri",Golden Jubilee
1963,Jab se dekha hai tumhay,Munawwar Rasheed,"Darpan , Zeba , Aga Jan , Lehri",Flopped
1964,Heera Aur Pathar,Pervaiz Malik,"Waheed Murad , Zeba , Ibrahim Nafees , Kamal Irani , Nirala",Golden Jubilee
1966,Armaan,Pervaiz Malik,"Waheed Murad , Zeba , Nirala , Rozina , Zahoor Ahmed",Platinum Jubilee
1967,Ehsaan,Pervaiz Malik,"Waheed Murad , Zeba , Nirala , Rozina , Azad , Ibrahim Nafees",Golden Jubilee
1968,Samandar,Rafiq Ghauri,"Waheed Murad , Shabnam , Nirala , Rozina , Hanif",Silver Jubilee
1969,Ishara,Waheed Murad,"Waheed Murad , Deeba , Lehri , Rozina , Talat Hussain",Silver Jubilee
1970,Naseeb Apna Apna,Qamar Zaidi,"Waheed Murad , Shabnam , Nirala , Tamanna , Saqi",Silver Jubilee
1971,Mastana mahi ( Punjabi film ),Iftikhar Khan,"Waheed Murad , Naghma , Aliya , Munawwar Zareef , Asad Bukhari",Golden Jubilee
1973,Jaal,Iftikhar Khan,"Waheed Murad , Nisho , Shaista Qaiser , Husna , Nanna",Silver Jubilee
1985,Hero,Iqbal Yousu,"Waheed Murad , Babra Sharif , Mumtaz , Adil Murad , Nadeem ( as guest star )",Silver Jubilee
