Team,Location,Stadium,Stadium capacity
BÍ/Bolungarvík,Ísafjörður,Torfnesvöllur,800
Fjölnir,Reykjavík,Fjölnisvöllur,"1,098"
Grótta,Seltjarnarnes,Gróttuvöllur,"1,500"
Haukar,Hafnarfjörður,Ásvellir,"1,400"
HK,Kópavogur,Kópavogsvöllur,"5,501"
ÍA,Akranes,Akranesvöllur,"2,780"
ÍR,Reykjavík,ÍR-Völlur,800
KA,Akureyri,Akureyrarvöllur,"1,770"
Leiknir R,Reykjavík,Leiknisvöllur,"1,300"
Selfoss,Selfoss,Selfossvöllur,"2,000"
Víkingur Ó,Ólafsvík,Ólafsvíkurvöllur,800
Þróttur R,Reykjavík,Valbjarnarvöllur,"2,000"
