Team,Location,Stadium,Stadium capacity
Fjarðabyggð,Fjarðabyggð,Eskifjarðarvöllur,"1,000"
Fjölnir,Reykjavík,Fjölnisvöllur,"1,008"
Grótta,Seltjarnarnes,Gróttuvöllur,"1,500"
HK,Kópavogur,Kópavogsvöllur,"5,501"
ÍA,Akranes,Akranesvöllur,"2,780"
ÍR,Reykjavík,ÍR-Völlur,800
KA,Akureyri,Akureyrarvöllur,"1,770"
Leiknir R,Reykjavík,Leiknisvöllur,"1,300"
Njarðvík,Reykjanesbær,Njarðtaksvöllurinn,"2,880"
Vikingur R,Reykjavík,Keppnisvöllur,"1,249"
Þór A,Akureyri,Þórsvöllur,"1,000"
Þróttur R,Reykjavík,Valbjarnarvöllur,"5,478"
