Song,Releases,Intended Release
Ca n't Stop Me,B-Side of Chill Into Special Edition,Into
Dancer in the Dark,Hide from the Sun Limited Edition,Hide from the Sun
Days,Heartbreaker/Days Into Special Edition,Into
Drum,Dark Matters Limited Edition Bonus Track,Dark Matters
Elephant 's Weight,[ Ellinoora Cover ],Ellinoora
Everything You Say,B-Side of Funeral Song Dead Letters Limited Edition,Dead Letters
Funeral Song ( The Resurrection ),B-Side of Funeral Song Dead Letters USA/UK Edition,Dead Letters
Justify ( Brown Version ),Justify iTunes Bonus Track,Black Roses
Holy Grail,Holy Grail,-
If You Ever,B-Side of Funeral Song Dead Letters USA/UK Edition,Dead Letters
Mysteria,Mysteria The Rasmus Tour Edition Bonus Tracks,The Rasmus
October & April feat . Anette Olzon,October & April,Best of 2001-2009
October & April feat . Lena Katina,October & April,Best of 2001-2009
Open My Eyes,Hide from the Sun UK Edition,Hide from the Sun
Play Dead,B-Side of Madness Into Special Edition,Into
Rakkauslaulu,1st Hell of a Collection,Peep
Since You 've Been Gone,B-Side of First Day of My Life UK Edition Dead Letters Limited Edition,Dead Letters
Supernova,Dark Matters Limited Edition Bonus Track,Dark Matters
Teardrops,B-Side of Paradise Dark Matters Limited Edition Bonus Track,Dark Matters
Trigger,Hide from the Sun Japan Edition,Hide from the Sun
