Year,Country,Title,Director,Notes
1960,Czechoslovakia,"Romeo , Julie a tma",Jiří Weiss,"English title : Romeo , Juliet and Darkness . Concerns Operation Anthropoid"
1960,United States,Exodus,Otto Preminger,Based on the novel by Leon Uris ; screenplay by Dalton Trumbo
1960,Yugoslavia,Deveti krug,France Stiglic,English title : The Ninth Circle
1961,Italy,Gold of Rome,Carlo Lizzani,Italian title : L'oro di Roma
1961,United States,Judgment at Nuremberg,Stanley Kramer,Winner of 2 Academy Awards For Best Actor and Best Adapted Screenplay
1961,Poland,Samson,Andrzej Wajda,
1961,Belgium,L'enclos,Armand Gatti,Italian title : Otto ore al buio . Prix de la Critique at 1961 Cannes Festival
1963,Poland,Passenger,Andrzej Munk,
1964,United States,The Pawnbroker,Sidney Lumet,"A Jewish pawnbroker , victim of Nazi persecution , loses all faith in his fellow man until he realizes too late the tragedy of his actions"
1965,East Germany,Chronik eines Mordes,Joachim Hasler,English title : Chronicle of a Murder
1965,Czechoslovakia,The Shop On Main Street,Ján Kadár & Elmar Klos,
1965,Germany,The Investigation,Peter Weiss,Also as TV play Die Ermittlung ( 1966 )
1967,United States,The Diary of Anne Frank,Alex Segal,"TV movie : Harrowing story of a young Jewish girl who , with her family and their friends , is forced into hiding in an attic in Nazi-occupied Amsterdam"
1967,France,Army of Shadows,Jean Pierre Melville,
