Couple,Scores,Dance,Music,Result
George & Edyta,"18 ( 7 , 5 , 6 )",Cha-cha-cha,Oye Como Va - Santana,Safe
Lisa & Louis,"19 ( 5 , 7 , 7 )",Waltz,( You Make Me Feel Like ) A Natural Woman - Aretha Franklin,Safe
Kenny & Andrea,"13 ( 4 , 5 , 4 )",Cha-cha-cha,Hot Stuff - Donna Summer,Eliminated
Stacy & Tony,"22 ( 8 , 6 , 8 )",Waltz,I Wonder Why - Curtis Stigers,Safe
Drew & Cheryl,"24 ( 8 , 8 , 8 )",Cha-cha-cha,She Bangs - Ricky Martin,Safe
Tia & Maks,"20 ( 6 , 7 , 7 )",Waltz,What a Wonderful World - Louis Armstrong,Bottom two
Master P & Ashly,"12 ( 4 , 4 , 4 )",Cha-cha-cha,I Want You Back - The Jackson 5,Safe
Giselle & Jonathan,"23 ( 7 , 8 , 8 )",Waltz,I Never Loved a Man ( The Way I Loved You ) - Roxette,Safe
Jerry & Anna,"21 ( 7 , 7 , 7 )",Cha-cha-cha,I Like It - The Blackout All-Stars,Safe
Tatum & Nick,"23 ( 7 , 8 , 8 )",Waltz,What the World Needs Now Is Love - Jackie DeShannon,Safe
