Date,Name,Nat,Moving from,Moving to,Fee
1 August 2009,Stefano Pietribiasi,Italy,Sambenedettese,Vicenza,Free
2009-08-01,Claudio Cafiero,Italy,Roma,San Marino,Loan
2009-08-01,Giacomo Di Donato,Italy,Vicenza,Valenzana,Loan
2009-08-01,Vladislav Mirchev,Bulgaria,Spartak Varna,Ancona,Undisclosed
2009-08-03,Rodrigue Boisfer,France,Genoa,Gubbio,Loan
2009-08-03,Andrea Soncin,Italy,Ascoli,Padova,Undisclosed
2009-08-03,Fabiano,Brazil,Genoa,Vicenza,Loan
2009-08-03,Frank Feltscher,Switzerland,Lecce,Bellinzona,Undisclosed
2009-08-03,Thomas Job,Cameroon,Pisa,Grosseto,Free
2009-08-03,Diego Rodríguez Da Luz,Uruguay,Bologna,Huracán,Undisclosed
2009-08-04,Andrea De Falco,Italy,Chievo,Ancona,Loan
2009-08-04,Miguel Layún,Mexico,Veracruz,Atalanta,Undisclosed
2009-08-04,Giovanni Bartolucci,Italy,Siena,Lecco,Loan
2009-08-04,Gianluca Litteri,Italy,Internazionale,Vicenza,Loan
2009-08-04,Edoardo Pazzagli,Italy,Fiorentina,Andria,Loan
2009-08-04,Samuele Olivi,Italy,Piacenza,Pescara,Undisclosed
2009-08-04,Mark Orosz,Hungary,Crotone,Arezzo,Undisclosed
2009-08-04,Andrea Paolucci,Italy,Fiorentina,Andria,Loan
2009-08-05,Filippo Fracaro,Italy,Internazionale ( youth ),Chievo ( youth ),Free
2009-08-05,Francesco D'Ascanio,Italy,Internazionale ( youth ),Chievo ( youth ),Undisclosed
