Date,Co-Hosts,Guests/Segments
December 4,Regis Philbin & Kelly Ripa,"Dakota Fanning , Derek Jeter , Sarah McLachlan"
December 5,Regis Philbin & Kelly Ripa,"Cate Blanchett , Ciara"
December 6,Regis Philbin & Kelly Ripa,"Shawn Wayans , Taylor Hicks"
December 7,Regis Philbin & Kelly Ripa,"Rob Lowe , America 's Next Top Model"
December 8,Kelly Ripa & Anderson Cooper,"Jennifer Connelly , Kermit the Frog , Brian McKnight"
December 11,Regis Philbin & Kelly Ripa,"Matthew Fox , Fantasia Barrino , winners of The Amazing Race"
December 12,Regis Philbin & Kelly Ripa,"Matthew McConaughey , Trans-Siberian Orchestra"
December 13,Regis Philbin & Kelly Ripa,"George Clooney , Susan Lucci"
December 14,Regis Philbin & Kelly Ripa,"Naomi Watts , 50 Cent , Aimee Mann"
December 15,Regis Philbin & Kelly Ripa,"Will Smith , Clay Aiken"
"May 20 , 2007",Regis Philbin & Kelly Ripa,"Sylvester Stallone , Chris Brown & Bow Wow"
December 19,Regis Philbin & Kelly Ripa,"Ben Stiller , Survivor : Cook Islands winner"
December 20,Regis Philbin & Kelly Ripa,"Beyoncé Knowles , Cameron Mathison"
December 21,Regis Philbin & Kelly Ripa,"Jamie Foxx , Clive Owen"
December 22,Regis Philbin & Kelly Ripa,"LIVE 's Holiday Celebration , Robert De Niro , Ashanti , Disney on Ice"
