Player,Career,Total ( min . 2 medals )
Carmelo Anthony,2004-2016,4
David Robinson,1988-1996,3
LeBron James,2004-2012,3
Bob Kurland,1948-1952,2
Bill Hougland,1952-1956,2
Burdette Haldorson,1956-1960,2
Michael Jordan,"1984 , 1992",2
Patrick Ewing,"1984 , 1992",2
Chris Mullin,"1984 , 1992",2
Charles Barkley,1992-1996,2
Scottie Pippen,1992-1996,2
Karl Malone,1992-1996,2
John Stockton,1992-1996,2
Gary Payton,1996-2000,2
Jason Kidd,"2000 , 2008",2
Deron Williams,2008-2012,2
Kobe Bryant,2008-2012,2
Chris Paul,2008-2012,2
Kevin Durant,2012-2016,2
Mitch Richmond,"1988 , 1996",2
