Rank,Name,Circulation,Publisher
1,What 's Cooking,"1,523,454",Kraft Foods / Meredith Corporation
2,Reader 's Digest,"597,229",The Reader 's Digest Association
3,Chatelaine,"550,613",Rogers Communications
4,Canadian Living,"511,817",Transcontinental
5,Maclean 's,"321,095",Rogers Communications
6,Canadian House & Home,"248,158",House & Home Media
7,Style at Home,"230,041",Transcontinental
8,Clean Eating,"225,457",Robert Kennedy Publishing
9,Coup de Pouce,"206,721",Transcontinental
10,Oxygen Women 's Fitness,"200,090",Robert Kennedy Publishing
11,Châtelaine,"176,870",Rogers Communications
12,Canadian Geographic,"168,046",Royal Canadian Geographical Society
13,Our Canada,"164,656",The Reader 's Digest Association
14,Financial Post Magazine,"164,047",Postmedia Network
15,L'actualité,"160,054",Rogers Communications
16,Today 's Parent,"160,035",Rogers Communications
17,Sélection du Reader 's Digest,"158,531",The Reader 's Digest Association
18,Vervegirl,"148,163",Youth Culture
19,LOU LOU,"145,896",Rogers Communications
20,Fashion,"141,760",St. Joseph Communications
