Season,Player,School,Position,Class
1981-82,William Brown,Saint Peter 's,G,Senior
1982-83,Steve Burtt,Iona,PG,Junior
1983-84,Steve Burtt ( 2 ),Iona,PG,Senior
1984-85,Randy Cozzens,Army,G,Senior
1985-86,Tony George,Fairfield,G,Senior
1986-87,Kevin Houston,Army,PG / SG,Senior
1987-88,Lionel Simmons,La Salle,SF,Sophomore
1988-89,Lionel Simmons ( 2 ),La Salle,SF,Junior
1989-90,Lionel Simmons * ( 3 ),La Salle,SF,Senior
1990-91,Marc Brown,Siena,PG,Senior
1991-92,Randy Woods,La Salle,PG,Senior
1992-93,Keith Bullock,Manhattan,F,Senior
1993-94,Doremus Bennerman,Siena,PG,Senior
1994-95,Craig Wise,Canisius,F,Senior
1995-96,Darrell Barley,Canisius,F,Senior
1996-97,Mindaugas Timinskas,Iona,SF,Senior
1997-98,Kashif Hameed,Iona,C / PF,Junior
1998-99,Alvin Young,Niagara,SG,Senior
1999-00,Tariq Kirksay,Iona,SG / SF,Senior
2000-01,Demond Stewart,Niagara,SG,Junior
