Medal,Name,Event,Championship
Gold,Sonja Stolić,Individual 3 km,1997 Oeiras
Gold,Amela Terzić,Individual 3 km,2012 Szentendre
Silver,,Women 's team,1997 Oeiras
Silver,Snežana Kostić,Individual 4.52 km,2003 Edinburgh
Silver,Nemanja Cerovac,Individual,2010 Albufeira
Silver,Amela Terzić,Individual,2010 Albufeira
Bronze,Sonja Stolić,Individual 3.6 km,1998 Ferrara
Bronze,Snežana Kostić,Individual 3.15 km,2001 Thun
Bronze,Dušan Markešević,Individual 6.5 km,2005 Tilburg
Bronze,Amela Terzić,Individual,2011 Velenje
