Party,Representatives,Leader,Position
PT,54,Paulo Pimenta,Opposition
PSL,53,Joice Hasselmann,Government
PL,40,Wellington Roberto,Government
PP,38,Arthur Lira,Government
PSD,36,André de Paula,Government
MDB,34,Baleia Rossi,Government
PSB,32,Tadeu Alencar,Opposition
PSDB,32,Carlos Sampaio,Government
REPUBLICANOS,31,Jhonatan de Jesus,Government
DEM,28,Elmar Nascimento,Government
PDT,27,André Figueiredo,Opposition
SD,14,Augusto Coutinho,Government
PTB,12,Pedro Lucas Fernandes,Government
PODE,11,José Nelto,Government
PROS,10,Toninho Wandscheer,Opposition
PSOL,10,Ivan Valente,Opposition
CIDADANIA,9,Daniel Coelho,Opposition
NOVO,8,Marcel van Hattem,Government
PCdoB,8,Daniel Almeida,Opposition
PSC,8,André Ferreira,Government
