Year,Winner,Position,School,Born
1981,Neal Broten,Center,Minnesota,"Roseau , Minnesota"
1982,George McPhee,Left Wing,Bowling Green,"Guelph , Ontario"
1983,Mark Fusco,Defense,Harvard,"Burlington , Massachusetts"
1984,Tom Kurvers,Defense,Minnesota-Duluth,"Minneapolis , Minnesota"
1985,Bill Watson,Right Wing,Minnesota-Duluth,"Pine Falls , Manitoba"
1986,Scott Fusco,Center,Harvard,"Burlington , Massachusetts"
1987,Tony Hrkac,Center,North Dakota,"Thunder Bay , Ontario"
1988,Robb Stauber,Goaltender,Minnesota,"Duluth , Minnesota"
1989,Lane MacDonald,Left Wing,Harvard,"Tulsa , Oklahoma"
1990,Kip Miller,Center,Michigan State,"Lansing , Michigan"
1991,David Emma,Center,Boston College,"Cranston , Rhode Island"
1992,Scott Pellerin,Left Wing,Maine,"Shediac , New Brunswick"
1993,Paul Kariya,Left Wing,Maine,"Vancouver , British Columbia"
1994,Chris Marinucci,Left Wing,Minnesota-Duluth,"Grand Rapids , Minnesota"
1995,Brian Holzinger,Center,Bowling Green,"Parma , Ohio"
1996,Brian Bonin,Center,Minnesota,"White Bear Lake , Minnesota"
1997,Brendan Morrison,Center,Michigan,"Pitt Meadows , British Columbia"
1998,Chris Drury,Left Wing,Boston University,"Trumbull , Connecticut"
1999,Jason Krog,Center,New Hampshire,"Fernie , British Columbia"
2000,Mike Mottau,Defense,Boston College,"Boston , Massachusetts"
