Res,Record,Opponent,Method,Event,Date,Round,Time,Location
Loss,6-6,Hannah Cifers,Decision ( unanimous ),UFC 241,"August 17 , 2019",3,5:00,"Anaheim , California , United States"
Loss,6-5,Angela Hill,Decision ( unanimous ),UFC Fight Night : Jacaré vs. Hermansson,"April 27 , 2019",3,5:00,"Sunrise , Florida , United States"
Loss,6-4,Jessica Aguilar,Decision ( unanimous ),UFC Fight Night : dos Santos vs. Ivanov,"July 14 , 2018",3,5:00,"Boise , Idaho , United States"
Loss,6-3,Karolina Kowalkiewicz,Decision ( unanimous ),UFC Fight Night : Cerrone vs. Till,"October 21 , 2017",3,5:00,"Gdańsk , Poland"
Win,6-2,DeAnna Bennett,Decision ( split ),Invicta FC 22 : Evinger vs. Kunitskaya II,"March 25 , 2017",3,5:00,"Kansas City , Missouri , United States"
Loss,5-2,Alexa Grasso,Decision ( unanimous ),Invicta FC 18 : Grasso vs. Esquibel,"July 29 , 2016",3,5:00,"Kansas City , Missouri , United States"
Win,5-1,Nicdali Rivera-Calanoc,Decision ( unanimous ),Invicta FC 9 : Honchak vs. Hashi,"November 1 , 2014",3,5:00,"Davenport , Iowa , United States"
Win,4-1,Jinh Yu Frey,Decision ( split ),Invicta FC 8 : Waterson vs. Tamada,"September 6 , 2014",3,5:00,"Kansas City , Missouri , United States"
Loss,3-1,Alex Chambers,Submission ( rear-naked choke ),Invicta FC 5 : Penne vs. Waterson,"April 5 , 2013",1,1:35,"Kansas City , Missouri , United States"
Win,3-0,Liz McCarthy,Decision ( split ),Invicta FC 4 : Esparza vs. Hyatt,"January 5 , 2013",3,5:00,"Kansas City , Kansas , United States"
Win,2-0,Amy Riehle,Decision ( unanimous ),Jackson 's MMA Series 7,"January 21 , 2012",3,5:00,"Albuquerque , New Mexico , United States"
Win,1-0,Brittany Horton,TKO ( head kick and punches ),Jackson 's MMA Series 4,"April 9 , 2011",1,3:59,"Albuquerque , New Mexico , United States"
