Dance,Best dancer ( s ),Highest score,Worst dancer ( s ),Lowest score
Cha-cha-cha,Dawid Kwiatkowski,39,Natalia Siwiec,18
Waltz,Joanna Moro,37,Jacek Lenartowicz,20
Foxtrot,Dawid Kwiatkowski,39,Antoni Królikowski,28
Viennese Waltz,Aneta Zając,37,Aneta Zając,28
Jive,Dawid Kwiatkowski Aneta Zając,33,Rafał Brzozowski,31
Tango,Joanna Moro,39,Natalia Siwiec,18
Quickstep,Joanna Moro,40,Aneta Zając,30
Samba,Klaudia Halejcio,40,Karolina Szostak,19
Rumba,Aneta Zając,40,Aneta Zając,28
Paso Doble,Joanna Moro,39,Piotr Gruszka,23
Salsa,Dawid Kwiatkowski,38,Jacek Rozenek,26
Argentine Tango,Aneta Zając,33,Dawid Kwiatkowski,32
Fusion,Joanna Moro Dawid Kwiatkowski,40,Piotr Gruszka,31
Uncommon styles,Klaudia Halejcio ( American Smooth ) Joanna Moro ( Charleston ),40,Piotr Gruszka ( Swing ),29
Freestyle,Joanna Moro Aneta Zając,40,,
