Operator,Country,Frequency ( MHz ),Band,Launch date
Bell,Canada,850 / 1900,5 / 2,November 2009 / November 2010 / March 2011
Freedom Mobile,Canada,1700,4,December 2009
Mobilicity,Canada,( ? ),( ? ),October 2012
Rogers,Canada,850 / 1900,5 / 2,November 2006 / September 2009
SaskTel,Canada,850 / 1900,5 / 2,August 2010 / ? 2011
Telus,Canada,850 / 1900,5 / 2,November 2009 / March 2011
Vidéotron,Canada,1700,4,September 2010 / August 2011
DoCoMo,Guam,850,5,November 2011
GTA,Guam,850,5,July 2011
iConnect,Guam,1900,2,( ? ) / Sep 2014
IT & E,Guam,1900,2,July 2014
IT & E,Northern Mariana Islands,850,5,July 2014
Docomo Pacific,Northern Mariana Islands,( ? ),( ? ),July 2014
AT & T,Puerto Rico,850 / 1900,5 / 2,February 2011
Claro,Puerto Rico,850 / 1900,5 / 2,February 2011
T-Mobile,Puerto Rico,1700,4,May 2011
Alaska Communications,United States,( ? ),( ? ),October 2012
AT & T,United States,850 / 1900,5 / 2,November 2010
BendBroadband,United States,( ? ),( ? ),December 2009
Cincinnati Bell,United States,( ? ),( ? ),July 2011
