Games,Gold,Silver,Bronze
1938 Vaxholm,Karl Widmark ( SWE ),Helmut Cämmerer ( GER ),Gregor Hradetzky ( AUT )
1950 Copenhagen,Gert Fredriksson ( SWE ),Thorvald Strömberg ( FIN ),Lars Petterson ( SWE )
1954 Mâcon,Gert Fredriksson ( SWE ),Louis Gantois ( FRA ),Ferenc Hatlaczky ( HUN )
1958 Prague,Fritz Briel ( GER ),Ferenc Hatlaczky ( HUN ),Gert Fredriksson ( SWE )
1963 Jajce,Erik Hansen ( DEN ),Aurel Vernescu ( ROU ),Siegfried Rossberg ( GDR )
1966 East Berlin,Aleksandr Shaparenko ( URS ),Erik Hansen ( DEN ),Imre Kemecsey ( HUN )
1970 Copenhagen,Aleksandr Shaparenko ( URS ),Lars Andersson ( SWE ),Grzegorz Śledziewski ( POL )
1971 Belgrade,Grzegorz Śledziewski ( POL ),Lars Andersson ( SWE ),Aleksandr Shaparenko ( URS )
1973 Tampere,Géza Csapó ( HUN ),Grzegorz Śledziewski ( POL ),Aleksandr Shaparenko ( URS )
1974 Mexico City,Géza Csapó ( HUN ),Grzegorz Śledziewski ( POL ),Oreste Perri ( ITA )
1975 Belgrade,Oreste Perri ( ITA ) Grzegorz Śledziewski ( POL ),None,Rüdiger Helm ( GDR )
1977 Sofia,Vasile Dîba ( ROU ),Rüdiger Helm ( GDR ),Oreste Perri ( ITA )
1978 Belgrade,Rüdiger Helm ( GDR ),Milan Janić ( YUG ),Vitaliy Trukshin ( URS )
1979 Duisburg,Rüdiger Helm ( GDR ),Ion Bîrlădeanu ( ROU ),Felix Masár ( TCH )
1981 Nottingham,Rüdiger Helm ( GDR ),Ion Bîrlădeanu ( ROU ),Einar Rasmussen ( NOR )
1982 Belgrade,Rüdiger Helm ( GDR ),Alan Thompson ( NZL ),Einar Rasmussen ( NOR )
1983 Tampere,Rüdiger Helm ( GDR ),Arturas Veta ( URS ),Alan Thompson ( NZL )
1985 Mechelen,Ferenc Csipes ( HUN ),Heiko Zinke ( GDR ),Kalle Sundqvist ( SWE )
1986 Montreal,Jeremy West ( GBR ),Ferenc Csipes ( HUN ),Harry Nolte ( GDR )
1987 Duisburg,Greg Barton ( USA ),Ferenc Csipes ( HUN ),Morten Ivarsen ( NOR )
