Medal,Name,Sport,Event
Gold,Mario Reiter,Alpine skiing,Men 's combined
Gold,Hermann Maier,Alpine skiing,Men 's giant slalom
Gold,Hermann Maier,Alpine skiing,Men 's Super G
Silver,Stephan Eberharter,Alpine skiing,Men 's giant slalom
Silver,Hans Knauss,Alpine skiing,Men 's Super G
Silver,Alexandra Meissnitzer,Alpine skiing,Women 's giant slalom
Silver,Michaela Dorfmeister,Alpine skiing,Women 's Super G
Silver,Markus Gandler,Cross-country skiing,Men 's 10 km pursuit
Bronze,Christian Mayer,Alpine skiing,Men 's combined
Bronze,Hannes Trinkl,Alpine skiing,Men 's downhill
Bronze,Thomas Sykora,Alpine skiing,Men 's slalom
Bronze,Alexandra Meissnitzer,Alpine skiing,Women 's Super G
Bronze,Christian Hoffmann,Cross-country skiing,Men 's 50 km freestyle
Bronze,Angelika Neuner,Luge,Women 's singles
Bronze,Andreas Widhölzl,Ski jumping,Individual K90
Bronze,Reinhard Schwarzenberger Martin Höllwarth Stefan Horngacher Andreas Widhölzl,Ski jumping,Team K120
Bronze,Brigitte Koeck,Snowboarding,Women 's giant slalom
