State,Contestant,Age,Height,Hometown
Amazonas,Ivian Lunasol Sarcos Colmenares,21,180 cm ( 5 ft 11 in ),Guanare
Anzoátegui,Verónica Liliana González Castillo,18,176 cm ( 5 ft 9 ⁄ 2 in ),Caracas
Apure,Ana Tábata Rodríguez Donnarumma,18,185 cm ( 6 ft 1 in ),San Fernando de Apure
Aragua,Caroline Gabriela Medina Peschiutta,18,178 cm ( 5 ft 10 in ),Maracay
Barinas,Kelly Stephanny Martínez Dominguez,22,178 cm ( 5 ft 10 in ),Caracas
Bolívar,Angela La Padula Peluso,19,178 cm ( 5 ft 10 in ),Ciudad Guayana
Canaima,Estefanía Nebot Peña,22,176 cm ( 5 ft 9 ⁄ 2 in ),Caracas
Carabobo,Romina Palmisano Giacche,20,178 cm ( 5 ft 10 in ),Valencia
Cojedes,Eliana Catherina Calicchia Arcila,24,176 cm ( 5 ft 9 ⁄ 2 in ),Valencia
Costa Oriental,Karen Andrea Soto Lugo,18,179 cm ( 5 ft 10 ⁄ 2 in ),Maracaibo
Delta Amacuro,Yaisbel Nohely Arteaga Polanco,21,179 cm ( 5 ft 10 ⁄ 2 in ),Puerto Cabello
Dependencias Federales,Axel Carolina López Aldana,20,176 cm ( 5 ft 9 ⁄ 2 in ),Caracas
Distrito Capital,Jessica Cristina Barboza Schmidt,22,179 cm ( 5 ft 10 ⁄ 2 in ),Maracaibo
Falcón,Liliana María Flores Arenas,23,175 cm ( 5 ft 9 in ),Coro
Guárico,Andrea Estefanía Vásquez Annicchiarico,19,178 cm ( 5 ft 10 in ),Caracas
Lara,María José Zavarce Alvarado,18,180 cm ( 5 ft 11 in ),Barquisimeto
Mérida,María Teresa Iannuzzo Lucena,22,176 cm ( 5 ft 9 ⁄ 2 in ),Carora
Miranda,Vanessa Andrea Gonçalves Gómez,24,178 cm ( 5 ft 10 in ),Baruta
Monagas,Angela Julieta Ruiz Pérez,18,178 cm ( 5 ft 10 in ),Maturín
Nueva Esparta,Melanie Reza Félix,18,180 cm ( 5 ft 11 in ),Caracas
