Season,Winner,Runner-up,Third
1978-79¹,Galina Kulakova,Raisa Smetanina,Zinaida Amosova
1979-80,No World Cup arranged this season,,
1980-81¹,Raisa Smetanina,Berit Aunli,Květoslava Jeriová-Pecková
1981-82,Berit Aunli,Britt Pettersen,Květoslava Jeriová-Pecková
1982-83,Marja-Liisa Kirvesniemi,Britt Pettersen ( 2 ),Květoslava Jeriová-Pecková ( 3 )
1983-84,Marja-Liisa Kirvesniemi ( 2 ),Raisa Smetanina ( 2 ),Anne Jahren
1984-85,Anette Bøe,Grete Ingeborg Nykkelmo,Britt Pettersen
1985-86,Marjo Matikainen,Marianne Dahlmo,Britt Pettersen ( 2 )
1986-87,Marjo Matikainen,Anfisa Reztsova,Marianne Dahlmo
1987-88,Marjo Matikainen ( 3 ),Marie-Helene Westin,Marja-Liisa Kirvesniemi ²
1988-89,Yelena Välbe,Alžběta Havrančíková,Tamara Tikhonova
1989-90,Larisa Lazutina,Yelena Välbe,Trude Dybendahl
1990-91,Yelena Välbe,Stefania Belmondo,Lyubov Yegorova
1991-92,Yelena Välbe,Stefania Belmondo,Lyubov Yegorova ( 2 )
1992-93,Lyubov Yegorova,Yelena Välbe,Stefania Belmondo
1993-94,Manuela Di Centa,Lyubov Yegorova,Yelena Välbe
1994-95,Yelena Välbe,Nina Gavrilyuk,Larisa Lazutina
1995-96,Manuela Di Centa ( 2 ),Yelena Välbe ( 3 ),Larisa Lazutina
1996-97,Yelena Välbe ( 5 ),Stefania Belmondo,Kateřina Neumannová
1997-98,Larisa Lazutina ( 2 ),Bente Martinsen,Stefania Belmondo
