Player,For,Against,Result,Date
Kim Do-Hoon,Seongnam Ilhwa Chunma,Osotsapa FC,6-0,9 March 2003
Hao Haidong,Dalian Shide,Osotsapa FC,7-1,12 March 2003
Patrick Suffo,Al-Hilal,Esteghlal,3-2,12 March 2003
Kiatisuk Senamuang,Hoàng Anh Gia Lai,PSM Makassar,5-1,11 February 2004
Kim Yeon-Gun,Jeonbuk Hyundai Motors,BEC Tero Sasana,4-0,7 April 2004
Edu Sales,Jeonbuk Hyundai Motors,BEC Tero Sasana,4-0,20 April 2004
Marzouk Al-Otaibi,Al-Ittihad,Sepahan,4-0,20 April 2004
Jasenko Sabitović,Seongnam Ilhwa Chunma,Persik Kediri,15-0,11 May 2004
Denis Laktionov,Seongnam Ilhwa Chunma,Persik Kediri,15-0,11 May 2004
Kim Do-Hoon,Seongnam Ilhwa Chunma,Persik Kediri,15-0,11 May 2004
Mohamed Al Zeno,Al-Jaish,Al-Zawra ' a,5-1,5 April 2005
Mohsen Bayatinia,PAS Tehran,Al-Salmiya,5-1,6 April 2005
Rasoul Khatibi,Sepahan,Al-Wahda,3-1,6 April 2005
Zheng Zhi,Shandong Luneng Taishan,PSM Makassar,6-1,20 April 2005
Onyekachi Nwoha,Al-Ain,Shenzhen Jianlibao,6-0,28 September 2005
Fernandinho,Gamba Osaka,Da Nang,15-0,22 March 2006
Magno Alves,Gamba Osaka,Da Nang,15-0,22 March 2006
Gao Lin,Shanghai Shenhua,Dong Tam Long An,4-2,3 May 2006
A'ala Hubail,Al-Gharrafa,Al-Wahda,5-3,17 May 2006
Diego Alonso,Shanghai Shenhua,Persik Kediri,6-0,23 May 2007
