Year,Tournament,Opponent in final,Score
2012,Olympic Games,Wang Yihan,"21-15 , 21-23 , 21-17"
2012,Badminton Asia Championships,Wang Yihan,"21-16 , 16-21 , 21-9"
2010,Badminton Asia Championships,Liu Xin,"21-13 , 18-21 , 21-19"
2015,China Open,Saina Nehwal,"21-12 , 21-15"
2015,Denmark Open,P. V. Sindhu,"21-19 , 21-12"
2014,Denmark Open,Wang Yihan,"21-17 , 22-20"
2014,Indonesia Open,Ratchanok Intanon,"21-13 , 21-13"
2014,Malaysia Open,Wang Shixian,"21-16 , 21-17"
2013,Super Series Masters Finals,Tai Tzu-ying,"21-8 , 21-14"
2013,China Open,Wang Shixian,"16-21 , 21-17 , 21-19"
2013,Indonesia Open,Juliane Schenk,"21-16 , 18-21 , 21-17"
2012,Super Series Masters Finals,Wang Shixian,"21-9 , 15-4"
2012,China Open,Ratchanok Inthanon,"21-12 , 21-9"
2012,All England Open,Wang Yihan,"21-13 , 21-19"
2012,Hong Kong Open,Wang Yihan,"21-12 , 11-3"
2014,Japan Open,Tai Tzu-ying,"21-16 , 21-6"
2012,India Open,Juliane Schenk,"14-21 , 21-17 , 21-8"
2016,China Masters,Sun Yu,"21-16 , 19-21 , 21-6"
2016,German Open,Wang Shixian,"21-14 , 21-17"
2012,German Open,Juliane Schenk,"21-19 , 21-16"
