Year,Title,Role,Notes
2003,The Sleepover Club,Matthew McDougal,25 episodes
2004,Silversun,Sheng Zammett,40 episodes
2005,Scooter : Secret Agent,Freddie,Episode : Operation : Double Oh
2005,Blue Heelers,Zac Bronski,Episode : Playing by the Book
2006,Neighbours,Charlie Hoyland,Episode : You 're a Big Boy Now
2006,Blue Water High,Eric Tanner,Lead role ; 26 episodes
2010,Underbelly : The Golden Mile,Michael Kanaan,4 episodes
2010,Tangle,Isacc,4 episodes
2009-2013,Packed to the Rafters,Coby Jennings,65 episodes Nominated - Logie Award for Most Popular New Male Talent Nominated - Graham Kennedy Award for Most Outstanding New Talent
2012,Redfern Now,Timmy,Episode : Raymond
2014-2015,Love Child,Johnny Lowry,9 episodes
2014,The Moodys,Sammy,1 episode
2015,Banished,Private MacDonald,7 episodes
2016,Wanted,Chris Murphett,2 episodes
2016,Cleverman,Blair Finch,Main Cast ; 6 episodes
2017,Hoges : The Paul Hogan Story,John Cornell,Main Cast ; 2 episodes
2019,Bloom,Sam/Tommy Brydon,Main Cast : 6 episodes
2019,My Life Is Murder,Samuel Morgan,Episode : Another Bloody Podcast
2019,The Commons,Shay,Main Cast
