Recipient,Year,Nationality
Stanley Rous *,1984,England
Mihajlo Andrejević,1984,Yugoslavia
Paulo Machado de Carvalho,1987,Brazil
Ferdinand Hidalgo,1987,Ecuador
Teófilo Salinas Fuller,1987,Peru
Marat Gramov,1987,Soviet Union
João Lyra Filho,1988,Brazil
Pedro Escartín,1988,Spain
Yidnekatchew Tessema,1988,Ethiopia
K. Ziauddin,1992,India
Shizuo Fujita,1992,Japan
Juan José Russo,1992,Argentina
Abdel Aziz Mostafa,1992,Egypt
Arthur George,1994,Australia
Chen Chengda,1994,China
Abdel Halim Muhammad,1994,Sudan
Gene Edwards,1994,United States
Vitali Smirnov,1995,Russia
Maurice Burlaz,1996,France
Henry Fok,1998,Hong Kong
