P,Name,Age,Moving to,Type
DF,Leandro,33,Cabofriense,Out of contract
MF,João Vitor,24,None,Out of contract
MF,Daniel Carvalho,29,None,Out of contract
FW,Betinho,25,None,Out of contract
FW,Obina,29,Shandong Luneng,Loan return
DF,Adalberto Román,25,LDU de Quito,Out of contract
DF,Thiago Heleno,24,None,Out of contract
DF,Artur,28,São Caetano,Loan return
MF,Corrêa,31,Portuguesa,Out of contract
DF,Luis Felipe,19,Penapolense,Loan
FW,Daniel Lovinho,23,Linense,Loan
GK,Carlos,22,None,Undefined
GK,Pegorari,21,None,Undefined
DF,Leandro Amaro,26,Avaí,Loan
DF,Wellington,21,None,Undefined
DF,Fabinho Capixaba,29,None,Undefined
DF,Gerley,22,Ceará,Loan
MF,Tinga,22,Figueirense,Loan
MF,Patrik,22,Gangwon FC,Loan
FW,Tadeu,26,None,Undefined
