Dance,Highest scored dancer ( s ),Highest score,Lowest scored dancer ( s ),Lowest score
Argentine Tango,Ricki Lake,29,Hope Solo,24
Cha-cha-cha,Ricki Lake,27,Ron Artest,14
Foxtrot,J.R. Martinez Rob Kardashian,26,Rob Kardashian Nancy Grace Ricki Lake Hope Solo,24
Freestyle,Rob Kardashian J.R. Martinez,30,Ricki Lake,27
Jive,J.R. Martinez,30,David Arquette,18
Paso Doble,Ricki Lake,27,Chaz Bono Nancy Grace Hope Solo,21
Quickstep,Ricki Lake J.R. Martinez,29,Chaz Bono,17
Rumba,Ricki Lake,27,Chaz Bono,18
Samba,Ricki Lake J.R. Martinez Rob Kardashian,30,Chaz Bono,21
Tango,Ricki Lake,30,Chaz Bono,19
Viennese Waltz,Chynna Phillips J.R. Martinez,22,Rob Kardashian,16
Waltz,J.R. Martinez,30,Nancy Grace,21
