Player,Triples,Teams & Seasons
Paul Waner,191,"1926-40 Pittsburgh Pirates , 1941-44 Boston Braves , 1941 Brooklyn Dodgers , 1944-45 New York Yankees"
Stan Musial,177,"1941-44 , 1946-63 St. Louis Cardinals"
Goose Goslin,173,"1921-30 , 1933 , 1938 Washington Senators , 1930-32 St. Louis Browns , 1934-37 Detroit Tigers"
Roberto Clemente,166,1955-72 Pittsburgh
Sam Rice,165,"1915-33 Washington Senators , 1934 Cleveland Indians"
Pie Traynor,164,"1920-35 , 1937 Pittsburgh"
Lou Gehrig,163,1923-39 New York ( AL )
Heinie Manush,160,1923-27 Detroit ; 1928-30 St. Louis ( AL ) ; 1930-35 Washington ( AL ) ; 1936 Boston ( AL ) ; 1937-38 Brooklyn ; 1938-39 Pittsburgh
Kiki Cuyler,157,1921-27 Pittsburgh ; 1928-35 Chicago ( NL ) ; 1935-37 Cincinnati ; 38 Brooklyn
Earle Combs,154,1924-35 New York ( AL )
