Border crossing point,Agency responsible for immigration checks,Agency responsible for customs checks,Nature of presence,Flights from outside the Schengen Area
Abbeville - Buigny-Saint-Maclou Aerodrome,Customs,Customs,On request,Infrequent charter flights
Agen - La Garenne Aerodrome,Customs,Customs,On request,Infrequent charter flights
Ajaccio - Napoléon Bonaparte Airport,Police aux frontières,Customs,Permanent,Seasonal scheduled flights ( London-Gatwick )
Albert - Picardie Airport,Customs,Customs,On request,Infrequent charter flights
Amiens - Glisy Aerodrome,Customs,Customs,On request,Infrequent charter flights
Angers - Loire Airport,Customs,Customs,On request,Seasonal scheduled flights ( London-City )
Angoulême - Brie - Champniers Airport,Customs,Customs,On request,Infrequent charter flights
Annecy - Haute-Savoie - Mont Blanc Airport,Customs,Customs,On request,Infrequent charter flights
Annemasse Aerodrome,Customs,Customs,On request,Infrequent charter flights
Auxerre - Branches Aerodrome,Customs,Customs,On request,Infrequent charter flights
Avignon - Caumont Airport,Customs,Customs,On request,"Seasonal scheduled flights ( Birmingham , Exeter , London-City , Southampton )"
Bastia - Poretta Airport,Police aux frontières,Customs,On request outside peak season,"Seasonal scheduled flights ( London-Gatwick , London-Heathrow , Manchester )"
Beauvais-Tillé Airport,Police aux frontières,Customs,On request outside peak season,"Regular scheduled flights ( Bacău , Bucharest-Henri Coandă , Chişinău , Cluj-Napoca , Dublin , Edinburgh , Fez , Glasgow-Prestwick , Knock , Manchester , Marrakech , Nador , Pula , Sofia , Tangier , Târgu Mureş , Timişoara )"
Bergerac Dordogne Périgord Airport,Customs,Customs,On request,"Regular scheduled flights ( Birmingham , Bristol , East Midlands , Edinburgh , Exeter , Leeds/Bradford , Liverpool , London-Gatwick , London-Stansted , Southampton )"
Besançon - La Vèze Aerodrome,Customs,Customs,On request,Infrequent charter flights
Béziers Cap d'Agde Airport,Customs,Customs,On request,"Seasonal scheduled flights ( Bristol , London-Luton , Manchester , Southampton )"
Biarritz - Anglet - Bayonne Airport,Customs,Customs,On request,"Seasonal scheduled flights ( Dublin , London-Gatwick , London-Stansted , Manchester )"
Bordeaux-Mérignac Airport,Police aux frontières,Customs,Permanent,"Regular scheduled flights ( Agadir , Algiers , Casablanca , London-Gatwick , London-Luton , Marrakech , Tunis ) , seasonal scheduled flights ( Bristol , Cork , Dublin , Edinburgh , Liverpool , Montréal-Trudeau , Oran , Southampton )"
Brest Bretagne Airport,Customs,Customs,On request outside peak season,"Regular scheduled flights ( London-City , Marrakech )"
Brive - Souillac Airport,Customs,Customs,On request,Seasonal scheduled flights ( London-City )
