Season,Winner,Runner-up,Third
1996-97,Steffi Hanzlik ( GER ),Michelle Kelly ( CAN ),Maya Bieri ( SUI )
1997-98,Maya Bieri ( SUI ),Steffi Hanzlik ( GER ),Susan Speiran ( CAN )
1998-99,Steffi Hanzlik ( GER ) ( 2 ),Ursi Walliser ( SUI ),Maya Bieri ( SUI )
1999-2000,Alexandra Hamilton ( GBR ),Maya Bieri ( SUI ),Michelle Kelly ( CAN )
2000-01,Alex Coomber ( GBR ),Steffi Hanzlik ( GER ),Maya Pedersen-Bieri ( SUI )
2001-02,Alex Coomber ( GBR ) ( 3 ),Maya Pedersen-Bieri ( SUI ),Lindsay Alcock ( CAN )
2002-03,Michelle Kelly ( CAN ),Lindsay Alcock ( CAN ),Tristan Gale ( USA )
2003-04,Lindsay Alcock ( CAN ),Diana Sartor ( GER ),Michelle Kelly ( CAN )
2004-05,Noelle Pikus-Pace ( USA ),Maya Pedersen-Bieri ( SUI ),Kerstin Jürgens ( GER )
2005-06,Mellisa Hollingsworth-Richards ( CAN ),Maya Pedersen-Bieri ( SUI ),Diana Sartor ( GER )
2006-07,Katie Uhlaender ( USA ),Noelle Pikus-Pace ( USA ),Michelle Kelly ( CAN )
2007-08,Katie Uhlaender ( USA ) ( 2 ),Michelle Kelly ( CAN ),Mellisa Hollingsworth ( CAN )
2008-09,Marion Trott ( GER ),Shelley Rudman ( GBR ),Katie Uhlaender ( USA )
2009-10,Mellisa Hollingsworth ( CAN ) ( 2 ),Shelley Rudman ( GBR ),Kerstin Szymkowiak ( GER )
2010-11,Anja Huber ( GER ),Shelley Rudman ( GBR ),Mellisa Hollingsworth ( CAN )
2011-12,Shelley Rudman ( GBR ),Marion Thees ( GER ),Anja Huber ( GER )
2012-13,Marion Thees ( GER ) ( 2 ),Anja Huber ( GER ),Katie Uhlaender ( USA )
2013-14,Elizabeth Yarnold ( GBR ),Noelle Pikus-Pace ( USA ),Shelley Rudman ( GBR )
2014-15,Janine Flock ( AUT ),Elizabeth Yarnold ( GBR ),Tina Hermann ( GER )
2015-16,Tina Hermann ( GER ),Jacqueline Lölling ( GER ),Jane Channell ( CAN )
