Stadium,Location,Capacity,Sport,Occupant,Notes
Baghdad Sports City,Yusufiyah,"85,000",Football,,Proposed
Tajiat Stadium,Baghdad,"60,000",Football,,On hold
Ammo Baba Stadium,Baghdad,"30,000",Football,,Under construction
New Minaa Stadium,Basra,"30,000",Football,Al-Mina ' a SC,Under construction
New Babel Stadium,Hillah,"30,000",Football,Al-Qasim SC,Under construction
Al Sunbula Stadium,Diwaniyah,"30,000",Football,Al-Diwaniya FC,Under construction
New Nasiriyah Stadium,Nasiriyah,"30,000",Football,Al-Nasiriya FC,Under construction
New Salah ad Din Stadium,Tikrit,"30,000",Football,Salahaddin FC,Under construction
Ba'quba Stadium,Baqubah,"30,000",Football,Diyala FC,On hold
Al Mosul University Stadium,Mosul,"30,000",Football,Al-Mosul FC,On hold
As Samawah Stadium,Samawah,"20,000",Football,Al-Samawa FC,Under construction
New Al Zawraa Stadium,Baghdad,"16,000",Football,Al-Zawra ' a SC,Under construction
Al Shorta Sports City,Baghdad,"10,000",Football,Al-Shorta SC,Under construction
