Pick,Player,Position,Nationality,Team,College/From
37,Manuel Narvaez,C,United States Puerto Rico,New Mexico Thunderbirds,Baloncesto Superior Nacional
38,Anthony Coleman,PF,United States,Bakersfield Jam,Albuquerque Thunderbirds
39,Walter Waters,C,United States,Austin Toros,Detroit Panthers ( PBL )
40,Jeff Graves,SF,United States,Idaho Stampede,Kansas City Knights ( ABA )
41,Mike Benton,C,United States,Tulsa 66ers,Colorado 14ers
42,Travis Garrison,SG,United States,Los Angeles D-Fenders,Maryland
43,Ricky Shields,PG,United States,Arkansas RimRockers,New Jersey Nets ( preseason )
44,Renaldo Major,SF,United States,Dakota Wizards,Golden State Warriors
45,Trent Strickland,F,United States,Fort Worth Flyers,Wake Forest
46,Julian Sensley,F,United States,Colorado 14ers,Hawaii
47,Jeff Varem,SG-SF,Nigeria,Sioux Falls Skyforce,Chicago Bulls ( preseason )
48,Greg Clausen,C,United States,Anaheim Arsenal,Marquette
