Event,Track,CART,INDYCAR,Races,Seasons
Indianapolis 500,Indianapolis Motor Speedway,1979-1995,1996-present,102,102
Toyota Grand Prix of Long Beach,Streets of Long Beach,1984-2008,2009-present,35,35
Honda Indy 200,Mid-Ohio Sports Car Course,1980 1983-2003,2007-present,34,34
Honda Indy Toronto,Exhibition Place,1986-2007,2009-present,34,32
REV Group Grand Prix at Road America,Road America,1982-2004 2006-2007,2016-present,28,28
Grand Prix of Portland,Portland International Raceway,1984-2007,2018-present,25,25
Firestone Grand Prix of Monterey,WeatherTech Raceway Laguna Seca,1983-2004,2019,22,22
Texas Indy 600,Texas Motor Speedway,,1997-present,29,22
Chevrolet Dual in Detroit,Detroit street circuit & The Raceway at Belle Isle Park,1989-2001,2007-2008 2012-present,28,22
Firestone Grand Prix of St. Petersburg,Streets of St. Petersburg,2003,2005-present,15,15
Iowa 300,Iowa Speedway,,2007-present,12,12
Honda Indy Grand Prix of Alabama,Barber Motorsports Park,,2010-present,9,9
Bommarito Automotive Group 500,World Wide Technology Raceway at Gateway,1997-2000,"2001-2003 , 2017-present",9,9
GMR Grand Prix,Indianapolis Motor Speedway Road Course,,2014-present,5,5
AutoNation INDYCAR Challenge,Circuit of the Americas,,2019-present,0,0
Indy Richmond 300,Richmond Raceway,,"2001-2009 , 2020-present",11,10
