Date,Co-Hosts,Guests/Segments
December 1,Regis Philbin & Kelly Ripa,"LIVE ! in Las Vegas , Blue Man Group , Selena Gomez , Terry Fator , Regis wakes from his own Vegas hangover"
December 2,Regis Philbin & Kelly Ripa,"LIVE ! in Las Vegas , Jubilee Showgirls , Howie Mandel , Rod Stewart , See what happens on Kelly 's Vegas-style girls night out !"
December 6,Regis Philbin & Kelly Ripa,"Ray Romano , Alyssa Milano , Perfect Holiday Gift Week"
December 7,Regis Philbin & Kelly Ripa,"James Franco , Daniel Dae Kim , Perfect Holiday Gift Week"
December 8,Regis Philbin & Kelly Ripa,"Amy Adams , Natasha Bedingfield , Perfect Holiday Gift Week"
December 9,Regis Philbin & Kelly Ripa,"Owen Wilson , Lucy Liu , Perfect Holiday Gift Week"
December 10,Kelly Ripa & Nick Lachey,"Aaron Eckhart , Mike Sorrentino , Perfect Holiday Gift Week"
December 13,Regis Philbin & Kelly Ripa,"Jessica Alba , Ice-T , Crystal Bowersox"
December 14,Regis Philbin & Kelly Ripa,"Jeff Bridges , Ricky Gervais , Annie Lennox"
December 15,Regis Philbin & Kelly Ripa,"Paul Rudd , Biggest Loser winner"
December 16,Regis Philbin & Kelly Ripa,"Reese Witherspoon , Teri Polo"
December 17,Regis Philbin & Kelly Ripa,"Robert De Niro , Michael Eisner"
December 20,Regis Philbin & Kelly Ripa,Ben Stiller
December 21,Regis Philbin & Kelly Ripa,"LIVE 's Holiday Skating Party , Bette Midler , Katharine McPhee , Disney On Ice"
December 22,Regis Philbin & Kelly Ripa,LIVE 's Holiday Flashback Special : Raiding the Live Vault
December 31,Regis Philbin & Kelly Ripa,2010 Farewell Special : A Year In Review
