Name,Age,Position,Club
Russell Ebert ( c ),25,Centreman,Port Adelaide
Peter Marker ( c ),26,Centreman,Glenelg
Paul Bagshaw,28,Ruck-rover,Sturt
Greg Bennett,26,Rover,Glenelg
Darrell Cahill,26,Rover,Port Adelaide
Peter Carey,21,Ruckman,Glenelg
Colin Casey,22,Half back,Sturt
Bill Cochrane,22,Full-back,Central District
Brian Colbey,28,Half back flanker,Glenelg
Graham Cornes,25,Ruck-rover,Glenelg
Rick Davies,22,Ruckman,Sturt
Ross Dillon,27,Centre half forward,Norwood
Phil Gallagher,20,Wingman,Norwood
Michael Graham,22,Half forward,Sturt
Max James,23,Full-back,Port Adelaide
Bob Keddie,29,Half forward flanker,South Adelaide
Bruce Light,26,Wingman,Port Adelaide
Colin MacVicar,24,Ruckman,Woodville
John McFarlane,23,Wingman,Glenelg
Sandy Nelson,28,Centre half back,Sturt
