Year,Title,Role
1997,Miracle in the Woods,Young Lilly
1997,Drive,Carolyn Brody
1998,Blade,Vanessa Brooks
1999,The Wood,Alicia
1999,The Best Man,Robyn
1999,Catfish in Black Bean Sauce,Nina
1999,Life,Daisy
2000,Love & Basketball,Monica Wright
2002,Brown Sugar,Sidney Sid Shaw
2003,Out of Time,Ann Merai Harrison
2004,Alien vs . Predator,Alexa Lex Woods
2005,The Golden Blaze,Monica ( voice )
2006,Something New,Kenya McQueen
2008,The Family That Preys,Andrea Pratt-Bennett
2009,Wonderful World,Khadi
2009,Powder Blue,Diana
2011,Contagion,Aubrey Cheever
2013,The Best Man Holiday,Robyn Stewart
2013,Repentance,Maggie Carter
2015,The Perfect Guy,Leah Vaughn
