#,Player,Primary Team,Career
1,Junius Bibbs,Kansas City Monarchs,1933-1944
2,Jeff James,Philadelphia Phillies,1968-1969
3,Danny Lazar,Chicago White Sox,1968-1968
4,Bill Hayes,Chicago Cubs,1980-1981
5,Wallace Johnson,Montreal Expos,1981-1990
6,Rick Grapenthin,Montreal Expos,1983-1985
7,Zane Smith,Atlanta Braves,1984-1996
8,Brian Dorsett,Cincinnati Reds,1984-1996
9,Tim Barrett,Montreal Expos,1988
10,Mike Gardiner,Boston Red Sox,1990-1995
11,Tom Gilles,Toronto Blue Jays,1990-1990
12,Blaise Ilsley,Chicago Cubs,1994-1994
13,David Doster,Philadelphia Phillies,"1996 , 1999"
14,Chuck Smith,Florida Marlins,2000-2001
15,Clint Barmes,Colorado Rockies,2003-2015
16,Alex Graman,New York Yankees,2003-2004
17,Mitch Stetter,Milwaukee Brewers,2007-2011
18,Joe Thatcher,San Diego Padres,2007-2015
19,Brian Omogrosso,Chicago White Sox,2012-2013
20,Jake Petricka,Chicago White Sox,2013- present
